Job_ID,Memory_Efficiency_Percent
25173797_201,78.64
25173797_202,79.95
25173797_203,79.35
25173797_204,80.03
25173797_205,78.92
25173797_206,80.13
25173797_207,78.10
25173797_208,77.92
25173797_209,79.12
25173797_210,80.55
25173797_211,79.73
25173797_212,80.93
25173797_213,80.36
25173797_214,81.78
25173797_215,78.84
25173797_216,78.17
25173797_217,79.05
25173797_218,79.84
25173797_219,79.90
25173797_220,79.87
25173797_221,81.02
25173797_222,81.09
25173797_223,77.20
25173797_224,82.76
25173797_225,80.45
25173797_226,76.96
25173797_227,80.61
25173797_228,80.81
25173797_229,78.33
25173797_230,81.22
25173797_231,77.75
25173797_232,80.69
25173797_233,82.03
25173797_234,77.52
25173797_235,77.64
25173797_236,79.11
25173797_237,79.24
25173797_238,79.04
25173797_239,76.06
25173797_240,79.76
25173797_241,76.09
25173797_242,78.22
25173797_243,79.34
25173797_244,79.88
25173797_245,79.94
25173797_246,78.81
25173797_247,78.75
25173797_248,78.85
25173797_249,78.69
25173797_250,79.69
25173797_251,77.59
25173797_252,79.52
25173797_253,78.78
25173797_254,80.55
25173797_255,77.88
25173797_256,76.17
25173797_257,77.89
25173797_258,79.30
25173797_259,77.58
25173797_260,78.12
25173797_261,79.79
25173797_262,78.51
25173797_263,78.43
25173797_264,76.82
25173797_265,79.28
25173797_266,79.36
25173797_267,77.43
25173797_268,77.84
25173797_269,82.33
25173797_270,77.73
25173797_271,80.56
25173797_272,75.45
25173797_273,78.06
