Job_ID,Memory_Efficiency_Percent
25173798_301,78.92
25173798_302,80.13
25173798_303,79.30
25173798_304,80.06
25173798_305,79.45
25173798_306,79.68
25173798_307,80.09
25173798_308,78.45
25173798_309,80.14
25173798_310,77.39
25173798_311,81.46
25173798_312,79.28
25173798_313,80.24
25173798_314,81.27
25173798_315,78.63
25173798_316,77.92
25173798_317,80.10
25173798_318,81.07
25173798_319,80.85
25173798_320,81.27
25173798_321,80.60
25173798_322,83.30
25173798_323,78.10
25173798_324,81.07
25173798_325,80.45
25173798_326,76.22
25173798_327,81.61
25173798_328,80.99
25173798_329,79.65
25173798_330,79.68
25173798_331,78.19
25173798_332,79.37
25173798_333,80.21
25173798_334,77.13
25173798_335,75.59
25173798_336,79.97
25173798_337,79.73
25173798_338,77.17
25173798_339,75.60
25173798_340,77.85
25173798_341,73.82
25173798_342,80.08
25173798_343,77.10
25173798_344,80.19
25173798_345,79.41
25173798_346,79.01
25173798_347,77.29
25173798_348,77.39
25173798_349,78.00
25173798_350,81.09
25173798_351,79.98
25173798_352,77.83
25173798_353,78.13
25173798_354,79.49
25173798_355,77.10
25173798_356,77.21
25173798_357,79.88
25173798_358,78.25
25173798_359,78.13
25173798_360,77.72
25173798_361,78.96
25173798_362,78.91
25173798_363,76.54
25173798_364,77.47
25173798_365,78.65
25173798_366,78.73
25173798_367,77.36
25173798_368,78.43
25173798_369,82.70
25173798_370,78.58
25173798_371,78.63
25173798_372,78.14
25173798_373,76.91
