Job_ID,Memory_Efficiency_Percent
25173801_401,78.83
25173801_402,79.96
25173801_403,78.29
25173801_404,80.42
25173801_405,80.01
25173801_406,80.60
25173801_407,80.08
25173801_408,78.77
25173801_409,79.05
25173801_410,79.46
25173801_411,81.55
25173801_412,79.45
25173801_413,80.83
25173801_414,82.54
25173801_415,79.23
25173801_416,78.58
25173801_417,80.07
25173801_418,80.28
25173801_419,81.00
25173801_420,81.39
25173801_421,80.64
25173801_422,85.20
25173801_423,78.47
25173801_424,82.93
25173801_425,79.98
25173801_426,77.28
25173801_427,80.74
25173801_428,79.57
25173801_429,78.18
25173801_430,80.77
25173801_431,79.06
25173801_432,78.24
25173801_433,81.19
25173801_434,77.68
25173801_435,76.57
25173801_436,82.48
25173801_437,77.38
25173801_438,77.97
25173801_439,75.43
25173801_440,79.99
25173801_441,76.95
25173801_442,78.83
25173801_443,77.89
25173801_444,79.92
25173801_445,79.56
25173801_446,79.93
25173801_447,80.45
25173801_448,77.57
25173801_449,78.45
25173801_450,80.04
25173801_451,77.77
25173801_452,77.96
25173801_453,78.53
25173801_454,80.82
25173801_455,77.41
25173801_456,77.51
25173801_457,78.59
25173801_458,79.87
25173801_459,78.92
25173801_460,78.23
25173801_461,77.20
25173801_462,77.64
25173801_463,77.21
25173801_464,77.83
25173801_465,78.47
25173801_466,79.03
25173801_467,78.77
25173801_468,79.27
25173801_469,77.82
25173801_470,77.93
25173801_471,79.40
25173801_472,79.58
25173801_473,74.40
