Job_ID,Memory_Efficiency_Percent
25096244_401,65.19
25096244_402,39.90
25096244_403,40.25
25096244_404,41.03
25096244_405,39.92
25096244_406,64.59
25096244_407,63.64
25096244_408,63.71
25096244_409,40.74
25096244_410,41.26
25096244_411,65.49
25096244_412,39.98
25096244_413,65.85
25096244_414,40.83
25096244_415,65.09
25096244_416,39.95
25096244_417,39.92
25096244_418,39.95
25096244_419,65.02
25096244_420,39.93
25096244_421,63.98
25096244_422,70.04
25096244_423,40.11
25096244_424,40.02
25096244_425,39.93
25096244_426,40.26
25096244_427,40.01
25096244_428,65.35
25096244_429,40.02
25096244_430,39.86
25096244_431,39.95
25096244_432,40.20
25096244_433,66.81
25096244_434,64.42
25096244_435,40.18
25096244_436,40.42
25096244_437,39.99
25096244_438,40.07
25096244_439,40.00
25096244_440,39.84
25096244_441,63.66
25096244_442,65.22
25096244_443,64.96
25096244_444,39.87
25096244_445,66.99
25096244_446,40.25
25096244_447,39.88
25096244_448,39.94
25096244_449,65.24
25096244_450,39.93
25096244_451,64.73
25096244_452,39.82
25096244_453,64.75
25096244_454,39.93
25096244_455,39.97
25096244_456,39.87
25096244_457,65.22
25096244_458,64.65
25096244_459,39.98
25096244_460,39.93
25096244_461,40.71
25096244_462,64.69
25096244_463,40.62
25096244_464,64.76
25096244_465,40.02
25096244_466,39.96
25096244_467,39.82
25096244_468,65.30
25096244_469,40.04
25096244_470,40.32
25096244_471,40.02
25096244_472,39.96
25096244_473,39.79
