Job_ID,Memory_Efficiency_Percent
25096243_301,40.05
25096243_302,39.62
25096243_303,39.99
25096243_304,64.71
25096243_305,65.25
25096243_306,65.32
25096243_307,65.09
25096243_308,63.20
25096243_309,64.94
25096243_310,40.00
25096243_311,39.84
25096243_312,39.82
25096243_313,39.92
25096243_314,40.04
25096243_315,41.31
25096243_316,63.88
25096243_317,65.85
25096243_318,40.03
25096243_319,65.62
25096243_320,40.10
25096243_321,65.32
25096243_322,40.83
25096243_323,64.67
25096243_324,68.25
25096243_325,66.77
25096243_326,39.95
25096243_327,39.78
25096243_328,39.89
25096243_329,40.29
25096243_330,65.75
25096243_331,39.98
25096243_332,40.83
25096243_333,66.73
25096243_334,64.00
25096243_335,64.52
25096243_336,41.18
25096243_337,40.91
25096243_338,40.63
25096243_339,41.06
25096243_340,40.95
25096243_341,41.07
25096243_342,40.73
25096243_343,63.96
25096243_344,39.96
25096243_345,40.09
25096243_346,39.95
25096243_347,39.96
25096243_348,40.37
25096243_349,65.26
25096243_350,66.12
25096243_351,40.14
25096243_352,40.13
25096243_353,65.38
25096243_354,40.69
25096243_355,64.23
25096243_356,64.21
25096243_357,39.97
25096243_358,39.96
25096243_359,39.87
25096243_360,39.92
25096243_361,64.61
25096243_362,39.93
25096243_363,39.83
25096243_364,39.87
25096243_365,40.07
25096243_366,65.00
25096243_367,40.05
25096243_368,64.94
25096243_369,39.98
25096243_370,39.93
25096243_371,39.90
25096243_372,66.31
25096243_373,63.88
