# DOE ARM Utqiagvik liquid-containing cloud durations -- Genie's event list
# ==========================================================================
#
# Written by northSlope_alaska_doeARM/
#   barrow_liquidContaining_cloud_susceptibility_fromGenies_data.ipynb (9f)
# from cloudDuration_ALL.csv, supplied by Genie Lorenzo Pearson 2026-09-17:
# the duration in minutes of EVERY liquid-containing (liquid + mixed-phase)
# cloud, non-precipitating, LWP threshold 0 g m-2, over 11 cold seasons
# (2014/15-2024/25, Oct 1 - Mar 31). One 30-s sample = 0.5 min is the
# resolution; the shortest cloud is one sample.
#
# LOSSLESS COMPRESSION of the list: every duration is a multiple of one
# sample and only a few hundred distinct values occur, so each row is one
# distinct duration and the number of clouds that had it. Expanding the
# rows (duration repeated n_clouds times) gives the original list exactly.
#
# 64,594 clouds; 17,392.5 h in total, 1,581.1 h/season.
# Mean 16.16 min, median 3.0 min, max 3218.5 min.
#
# KNOWN DISCREPANCY (notebook section 9a): the durations sum to 6.4% LESS
# than the ver2 seasonal liquid-containing totals (17,392 h vs 18,574 h),
# and the list matches the PRE-correction (ver1) total + a few percent.
# Provenance not yet confirmed with Genie. Retained FRACTIONS are the
# quantity to use from this file; absolute hours carry that caveat.
#
n_seasons,11
duration_min,n_clouds
0.5,9569
1,9888
1.5,5091
2,4590
2.5,2702
3,3250
3.5,1878
4,2156
4.5,1355
5,1746
5.5,1033
6,1318
6.5,797
7,1036
7.5,661
8,862
8.5,545
9,731
9.5,436
10,667
10.5,390
11,506
11.5,340
12,453
12.5,296
13,394
13.5,254
14,385
14.5,227
15,312
15.5,190
16,306
16.5,201
17,279
17.5,166
18,283
18.5,168
19,215
19.5,137
20,224
20.5,104
21,175
21.5,121
22,187
22.5,126
23,165
23.5,110
24,169
24.5,116
25,147
25.5,85
26,137
26.5,92
27,109
27.5,80
28,122
28.5,88
29,104
29.5,79
30,93
30.5,65
31,98
31.5,68
32,86
32.5,67
33,84
33.5,57
34,84
34.5,48
35,71
35.5,49
36,75
36.5,52
37,75
37.5,47
38,74
38.5,53
39,70
39.5,42
40,53
40.5,36
41,74
41.5,37
42,61
42.5,43
43,59
43.5,37
44,47
44.5,32
45,56
45.5,40
46,55
46.5,27
47,59
47.5,29
48,47
48.5,37
49,36
49.5,38
50,37
50.5,35
51,29
51.5,28
52,35
52.5,30
53,43
53.5,23
54,33
54.5,21
55,47
55.5,19
56,32
56.5,28
57,33
57.5,22
58,21
58.5,25
59,30
59.5,22
60,46
60.5,27
61,40
61.5,23
62,20
62.5,17
63,22
63.5,16
64,21
64.5,22
65,23
65.5,19
66,26
66.5,20
67,26
67.5,28
68,30
68.5,20
69,28
69.5,14
70,28
70.5,14
71,14
71.5,13
72,22
72.5,20
73,15
73.5,21
74,28
74.5,16
75,26
75.5,10
76,29
76.5,16
77,22
77.5,9
78,20
78.5,15
79,17
79.5,13
80,13
80.5,7
81,19
81.5,12
82,22
82.5,13
83,11
83.5,7
84,17
84.5,10
85,21
85.5,15
86,19
86.5,16
87,14
87.5,16
88,18
88.5,4
89,12
89.5,12
90,13
90.5,12
91,20
91.5,9
92,7
92.5,10
93,9
93.5,8
94,22
94.5,11
95,4
95.5,9
96,10
96.5,6
97,14
97.5,16
98,7
98.5,14
99,17
99.5,10
100,10
100.5,7
101,13
101.5,5
102,7
102.5,9
103,10
103.5,3
104,13
104.5,9
105,11
105.5,8
106,14
106.5,9
107,15
107.5,12
108,8
108.5,3
109,14
109.5,9
110,12
110.5,6
111,11
111.5,12
112,14
112.5,15
113,16
113.5,4
114,10
114.5,7
115,7
115.5,9
116,8
116.5,3
117,11
117.5,10
118,6
118.5,7
119,11
119.5,6
120,4
120.5,3
121,2
121.5,4
122,10
122.5,7
123,5
123.5,6
124,9
124.5,6
125,9
125.5,2
126,5
126.5,6
127,7
127.5,6
128,7
128.5,4
129,7
129.5,4
130,7
130.5,6
131,10
131.5,5
132,9
132.5,7
133,8
133.5,3
134,8
134.5,6
135,4
135.5,6
136,6
136.5,4
137,3
137.5,5
138,6
138.5,5
139,6
139.5,5
140,9
140.5,15
141,5
141.5,4
142,4
142.5,12
